number, region_area, filename
100, 5228.52, 10088_1.1_normal.png
368, 1442.83, 10088_1.3_normal.png
1408, 382.13, 10088_1.5_normal.png
3617, 156.81, 10088_1.7_normal.png
7251, 88.05, 10088_1.9_normal.png
86, 6266.27, 10186_1.1_normal.png
331, 1682.19, 10186_1.3_normal.png
1178, 494.87, 10186_1.5_normal.png
3457, 179.73, 10186_1.7_normal.png
7223, 91.65, 10186_1.9_normal.png
102, 5142.51, 10457_1.1_normal.png
419, 1253.24, 10457_1.3_normal.png
1367, 411.23, 10457_1.5_normal.png
3978, 147.79, 10457_1.7_normal.png
8748, 69.98, 10457_1.9_normal.png
54, 9749.48, 10503_1.1_normal.png
246, 2158.58, 10503_1.3_normal.png
889, 609.08, 10503_1.5_normal.png
2867, 195.61, 10503_1.7_normal.png
7132, 86.17, 10503_1.9_normal.png
88, 5991.93, 10744_1.1_normal.png
427, 1260.51, 10744_1.3_normal.png
1348, 409.22, 10744_1.5_normal.png
4194, 134.91, 10744_1.7_normal.png
9706, 60.29, 10744_1.9_normal.png
154, 3393.75, 10942_1.1_normal.png
551, 942.73, 10942_1.3_normal.png
1776, 299.51, 10942_1.5_normal.png
4625, 117.9, 10942_1.7_normal.png
8592, 71.38, 10942_1.9_normal.png
65, 8081.9, 11023_1.1_normal.png
297, 1759.23, 11023_1.3_normal.png
955, 553.22, 11023_1.5_normal.png
3151, 177.02, 11023_1.7_normal.png
8013, 72.44, 11023_1.9_normal.png
115, 4533.25, 11060_1.1_normal.png
468, 1121.04, 11060_1.3_normal.png
1519, 350.46, 11060_1.5_normal.png
4160, 131.22, 11060_1.7_normal.png
9322, 61.87, 11060_1.9_normal.png
94, 5586.74, 11128_1.1_normal.png
420, 1251.43, 11128_1.3_normal.png
1148, 504.23, 11128_1.5_normal.png
3334, 178.9, 11128_1.7_normal.png
7693, 80.73, 11128_1.9_normal.png
102, 5106.88, 11213_1.1_normal.png
459, 1142.31, 11213_1.3_normal.png
1358, 383.94, 11213_1.5_normal.png
4149, 132.11, 11213_1.7_normal.png
9829, 57.53, 11213_1.9_normal.png
90, 5870.67, 11218_1.1_normal.png
387, 1383.84, 11218_1.3_normal.png
1377, 407.46, 11218_1.5_normal.png
4430, 131.52, 11218_1.7_normal.png
9438, 61.06, 11218_1.9_normal.png
72, 7254.92, 11267_1.1_normal.png
364, 1429.35, 11267_1.3_normal.png
1229, 430.7, 11267_1.5_normal.png
4279, 126.13, 11267_1.7_normal.png
9738, 58.28, 11267_1.9_normal.png
93, 5693.0, 11426_1.1_normal.png
598, 886.38, 11426_1.3_normal.png
1794, 295.49, 11426_1.5_normal.png
4678, 114.39, 11426_1.7_normal.png
9660, 58.11, 11426_1.9_normal.png
82, 6414.43, 11443_1.1_normal.png
357, 1520.07, 11443_1.3_normal.png
1037, 570.2, 11443_1.5_normal.png
2951, 211.6, 11443_1.7_normal.png
7828, 82.75, 11443_1.9_normal.png
124, 4266.73, 11635_1.1_normal.png
427, 1243.42, 11635_1.3_normal.png
1518, 350.24, 11635_1.5_normal.png
4353, 127.7, 11635_1.7_normal.png
9619, 59.71, 11635_1.9_normal.png
170, 3033.89, 11690_1.1_normal.png
735, 704.19, 11690_1.3_normal.png
2111, 247.49, 11690_1.5_normal.png
5251, 103.21, 11690_1.7_normal.png
8430, 75.15, 11690_1.9_normal.png
174, 3031.6, 11829_1.1_normal.png
774, 687.47, 11829_1.3_normal.png
2273, 242.79, 11829_1.5_normal.png
5537, 98.59, 11829_1.7_normal.png
10289, 54.0, 11829_1.9_normal.png
57, 9310.46, 11868_1.1_normal.png
380, 1397.88, 11868_1.3_normal.png
1102, 485.89, 11868_1.5_normal.png
3599, 151.03, 11868_1.7_normal.png
8488, 69.71, 11868_1.9_normal.png
59, 8885.62, 11870_1.1_normal.png
308, 1702.62, 11870_1.3_normal.png
1186, 443.15, 11870_1.5_normal.png
4240, 127.1, 11870_1.7_normal.png
9695, 59.43, 11870_1.9_normal.png
93, 5704.85, 11974_1.1_normal.png
484, 1114.43, 11974_1.3_normal.png
1757, 313.67, 11974_1.5_normal.png
5461, 99.04, 11974_1.7_normal.png
9615, 61.51, 11974_1.9_normal.png
190, 2768.96, 12228_1.1_normal.png
738, 721.82, 12228_1.3_normal.png
2146, 246.0, 12228_1.5_normal.png
5137, 107.98, 12228_1.7_normal.png
10013, 56.64, 12228_1.9_normal.png
95, 5484.95, 1291_1.1_normal.png
430, 1218.62, 1291_1.3_normal.png
1483, 353.4, 1291_1.5_normal.png
4075, 135.52, 1291_1.7_normal.png
8738, 66.19, 1291_1.9_normal.png
100, 5204.56, 1419_1.1_normal.png
462, 1149.32, 1419_1.3_normal.png
1515, 355.33, 1419_1.5_normal.png
4392, 128.39, 1419_1.7_normal.png
9158, 65.12, 1419_1.9_normal.png
122, 4338.91, 1429_1.1_normal.png
389, 1384.9, 1429_1.3_normal.png
1604, 343.61, 1429_1.5_normal.png
4691, 116.73, 1429_1.7_normal.png
8395, 74.72, 1429_1.9_normal.png
102, 5104.58, 1655_1.1_normal.png
393, 1334.51, 1655_1.3_normal.png
1330, 393.99, 1655_1.5_normal.png
4547, 117.51, 1655_1.7_normal.png
9563, 59.24, 1655_1.9_normal.png
120, 4406.44, 1951_1.1_normal.png
475, 1113.6, 1951_1.3_normal.png
1534, 358.05, 1951_1.5_normal.png
4533, 124.43, 1951_1.7_normal.png
7936, 82.17, 1951_1.9_normal.png
77, 6783.23, 2165_1.1_normal.png
382, 1385.25, 2165_1.3_normal.png
1175, 450.49, 2165_1.5_normal.png
3545, 160.82, 2165_1.7_normal.png
8163, 76.22, 2165_1.9_normal.png
28, 18748.66, 2204_1.1_normal.png
215, 2437.24, 2204_1.3_normal.png
855, 624.79, 2204_1.5_normal.png
3532, 157.97, 2204_1.7_normal.png
8820, 68.26, 2204_1.9_normal.png
112, 4733.89, 225_1.1_normal.png
415, 1289.6, 225_1.3_normal.png
1458, 372.04, 225_1.5_normal.png
3630, 153.36, 225_1.7_normal.png
7021, 87.44, 225_1.9_normal.png
99, 5313.16, 2291_1.1_normal.png
282, 1844.66, 2291_1.3_normal.png
1200, 441.36, 2291_1.5_normal.png
3304, 164.48, 2291_1.7_normal.png
8385, 70.88, 2291_1.9_normal.png
91, 5746.99, 2362_1.1_normal.png
388, 1347.43, 2362_1.3_normal.png
1149, 496.35, 2362_1.5_normal.png
3749, 157.68, 2362_1.7_normal.png
9044, 66.83, 2362_1.9_normal.png
51, 10282.31, 2410_1.1_normal.png
198, 2643.17, 2410_1.3_normal.png
793, 667.27, 2410_1.5_normal.png
2833, 191.56, 2410_1.7_normal.png
6717, 94.32, 2410_1.9_normal.png
126, 4148.95, 2614_1.1_normal.png
396, 1319.7, 2614_1.3_normal.png
1707, 308.58, 2614_1.5_normal.png
4779, 112.0, 2614_1.7_normal.png
10022, 54.83, 2614_1.9_normal.png
62, 8401.54, 2789_1.1_normal.png
363, 1442.6, 2789_1.3_normal.png
1310, 406.41, 2789_1.5_normal.png
4245, 127.13, 2789_1.7_normal.png
9296, 61.69, 2789_1.9_normal.png
177, 2944.74, 2870_1.1_normal.png
617, 843.88, 2870_1.3_normal.png
1976, 266.11, 2870_1.5_normal.png
5142, 102.94, 2870_1.7_normal.png
10107, 54.82, 2870_1.9_normal.png
96, 5489.29, 2882_1.1_normal.png
354, 1526.13, 2882_1.3_normal.png
1337, 401.67, 2882_1.5_normal.png
3944, 141.63, 2882_1.7_normal.png
8101, 74.27, 2882_1.9_normal.png
56, 9451.76, 3106_1.1_normal.png
302, 1775.37, 3106_1.3_normal.png
955, 562.29, 3106_1.5_normal.png
3218, 174.51, 3106_1.7_normal.png
7872, 75.21, 3106_1.9_normal.png
83, 6269.79, 3197_1.1_normal.png
348, 1501.27, 3197_1.3_normal.png
1159, 453.25, 3197_1.5_normal.png
3276, 165.7, 3197_1.7_normal.png
7762, 75.44, 3197_1.9_normal.png
133, 3976.41, 3273_1.1_normal.png
643, 810.04, 3273_1.3_normal.png
1742, 304.15, 3273_1.5_normal.png
4565, 117.67, 3273_1.7_normal.png
9278, 65.91, 3273_1.9_normal.png
112, 4692.54, 3760_1.1_normal.png
372, 1420.54, 3760_1.3_normal.png
1367, 392.09, 3760_1.5_normal.png
3968, 137.07, 3760_1.7_normal.png
9029, 62.85, 3760_1.9_normal.png
149, 3530.05, 3933_1.1_normal.png
463, 1122.07, 3933_1.3_normal.png
1976, 266.22, 3933_1.5_normal.png
3899, 153.7, 3933_1.7_normal.png
8242, 76.16, 3933_1.9_normal.png
88, 5953.56, 3965_1.1_normal.png
429, 1220.36, 3965_1.3_normal.png
1628, 324.43, 3965_1.5_normal.png
4645, 115.18, 3965_1.7_normal.png
9234, 64.65, 3965_1.9_normal.png
77, 6789.95, 3975_1.1_normal.png
396, 1320.1, 3975_1.3_normal.png
1210, 439.31, 3975_1.5_normal.png
3597, 154.51, 3975_1.7_normal.png
8536, 68.55, 3975_1.9_normal.png
91, 5870.63, 4087_1.1_normal.png
515, 1017.88, 4087_1.3_normal.png
1742, 303.17, 4087_1.5_normal.png
4600, 116.75, 4087_1.7_normal.png
9833, 57.14, 4087_1.9_normal.png
75, 7090.69, 4215_1.1_normal.png
468, 1107.14, 4215_1.3_normal.png
1677, 314.05, 4215_1.5_normal.png
4803, 112.01, 4215_1.7_normal.png
9726, 58.99, 4215_1.9_normal.png
225, 2303.42, 423_1.1_normal.png
627, 836.85, 423_1.3_normal.png
1969, 273.39, 423_1.5_normal.png
5398, 101.11, 423_1.7_normal.png
7076, 100.68, 423_1.9_normal.png
69, 7620.41, 4404_1.1_normal.png
379, 1379.13, 4404_1.3_normal.png
1126, 496.78, 4404_1.5_normal.png
3495, 163.83, 4404_1.7_normal.png
9126, 63.2, 4404_1.9_normal.png
109, 4774.69, 4428_1.1_normal.png
330, 1632.39, 4428_1.3_normal.png
1354, 407.23, 4428_1.5_normal.png
3406, 169.13, 4428_1.7_normal.png
8758, 64.56, 4428_1.9_normal.png
108, 4821.42, 449_1.1_normal.png
588, 883.77, 449_1.3_normal.png
1841, 287.64, 449_1.5_normal.png
4525, 123.06, 449_1.7_normal.png
8684, 69.25, 449_1.9_normal.png
114, 4585.4, 4597_1.1_normal.png
440, 1199.51, 4597_1.3_normal.png
1299, 408.44, 4597_1.5_normal.png
3971, 137.33, 4597_1.7_normal.png
8843, 66.57, 4597_1.9_normal.png
62, 8439.81, 4718_1.1_normal.png
351, 1486.54, 4718_1.3_normal.png
1244, 418.5, 4718_1.5_normal.png
3754, 142.3, 4718_1.7_normal.png
8132, 72.49, 4718_1.9_normal.png
53, 9897.66, 4797_1.1_normal.png
304, 1761.16, 4797_1.3_normal.png
1049, 519.87, 4797_1.5_normal.png
3339, 163.74, 4797_1.7_normal.png
7677, 78.8, 4797_1.9_normal.png
138, 3820.84, 5476_1.1_normal.png
514, 1031.13, 5476_1.3_normal.png
1262, 446.34, 5476_1.5_normal.png
3732, 157.05, 5476_1.7_normal.png
8251, 75.25, 5476_1.9_normal.png
151, 3445.42, 5717_1.1_normal.png
365, 1542.61, 5717_1.3_normal.png
1498, 379.77, 5717_1.5_normal.png
3658, 161.12, 5717_1.7_normal.png
7460, 84.82, 5717_1.9_normal.png
84, 6178.83, 5817_1.1_normal.png
367, 1440.96, 5817_1.3_normal.png
1224, 433.07, 5817_1.5_normal.png
2843, 206.86, 5817_1.7_normal.png
7339, 85.67, 5817_1.9_normal.png
41, 12898.52, 5823_1.1_normal.png
185, 2916.76, 5823_1.3_normal.png
944, 577.54, 5823_1.5_normal.png
3380, 168.69, 5823_1.7_normal.png
7780, 79.77, 5823_1.9_normal.png
116, 4558.42, 6085_1.1_normal.png
370, 1425.5, 6085_1.3_normal.png
1575, 343.46, 6085_1.5_normal.png
4476, 123.07, 6085_1.7_normal.png
9710, 58.97, 6085_1.9_normal.png
117, 4457.41, 6111_1.1_normal.png
402, 1294.86, 6111_1.3_normal.png
1412, 379.1, 6111_1.5_normal.png
4157, 131.75, 6111_1.7_normal.png
7848, 78.7, 6111_1.9_normal.png
82, 6342.49, 6153_1.1_normal.png
346, 1532.45, 6153_1.3_normal.png
1386, 385.03, 6153_1.5_normal.png
4286, 131.25, 6153_1.7_normal.png
8537, 72.23, 6153_1.9_normal.png
101, 5126.59, 6156_1.1_normal.png
394, 1334.09, 6156_1.3_normal.png
1586, 334.34, 6156_1.5_normal.png
4579, 118.9, 6156_1.7_normal.png
10116, 54.85, 6156_1.9_normal.png
82, 6693.12, 6195_1.1_normal.png
422, 1320.36, 6195_1.3_normal.png
1563, 358.05, 6195_1.5_normal.png
4623, 117.29, 6195_1.7_normal.png
9546, 61.67, 6195_1.9_normal.png
70, 7519.31, 6214_1.1_normal.png
380, 1399.69, 6214_1.3_normal.png
1540, 354.1, 6214_1.5_normal.png
5256, 103.68, 6214_1.7_normal.png
9467, 62.79, 6214_1.9_normal.png
91, 5842.48, 6259_1.1_normal.png
327, 1639.98, 6259_1.3_normal.png
1304, 413.17, 6259_1.5_normal.png
4376, 122.43, 6259_1.7_normal.png
9734, 57.96, 6259_1.9_normal.png
73, 7187.92, 643_1.1_normal.png
313, 1673.93, 643_1.3_normal.png
1202, 435.4, 643_1.5_normal.png
3803, 141.86, 643_1.7_normal.png
9078, 63.54, 643_1.9_normal.png
94, 5566.01, 6531_1.1_normal.png
471, 1110.33, 6531_1.3_normal.png
1324, 419.83, 6531_1.5_normal.png
4013, 140.29, 6531_1.7_normal.png
8273, 72.56, 6531_1.9_normal.png
83, 6849.27, 6594_1.1_normal.png
422, 1356.78, 6594_1.3_normal.png
1211, 485.75, 6594_1.5_normal.png
4678, 115.46, 6594_1.7_normal.png
9805, 57.6, 6594_1.9_normal.png
125, 4298.61, 6616_1.1_normal.png
604, 871.32, 6616_1.3_normal.png
1756, 302.94, 6616_1.5_normal.png
5007, 108.92, 6616_1.7_normal.png
9183, 64.04, 6616_1.9_normal.png
120, 4428.22, 7036_1.1_normal.png
586, 927.29, 7036_1.3_normal.png
2180, 241.27, 7036_1.5_normal.png
4544, 131.12, 7036_1.7_normal.png
9307, 65.25, 7036_1.9_normal.png
60, 8675.92, 7044_1.1_normal.png
280, 1857.53, 7044_1.3_normal.png
978, 535.1, 7044_1.5_normal.png
3642, 149.92, 7044_1.7_normal.png
9625, 58.01, 7044_1.9_normal.png
83, 6312.07, 7107_1.1_normal.png
399, 1330.52, 7107_1.3_normal.png
1373, 403.69, 7107_1.5_normal.png
3933, 149.68, 7107_1.7_normal.png
7454, 87.09, 7107_1.9_normal.png
43, 12689.91, 7375_1.1_normal.png
255, 2149.69, 7375_1.3_normal.png
1106, 499.64, 7375_1.5_normal.png
4451, 122.75, 7375_1.7_normal.png
9836, 56.59, 7375_1.9_normal.png
56, 9328.68, 7385_1.1_normal.png
350, 1490.76, 7385_1.3_normal.png
994, 539.35, 7385_1.5_normal.png
3026, 188.93, 7385_1.7_normal.png
7882, 75.77, 7385_1.9_normal.png
87, 6054.93, 7545_1.1_normal.png
334, 1568.1, 7545_1.3_normal.png
1221, 437.02, 7545_1.5_normal.png
3716, 149.02, 7545_1.7_normal.png
9209, 63.24, 7545_1.9_normal.png
189, 2846.47, 755_1.1_normal.png
651, 851.42, 755_1.3_normal.png
2333, 229.5, 755_1.5_normal.png
6025, 86.18, 755_1.7_normal.png
10639, 51.76, 755_1.9_normal.png
172, 3050.79, 7844_1.1_normal.png
626, 852.85, 7844_1.3_normal.png
2093, 262.33, 7844_1.5_normal.png
5170, 111.79, 7844_1.7_normal.png
9107, 66.31, 7844_1.9_normal.png
244, 2122.83, 7947_1.1_normal.png
767, 685.85, 7947_1.3_normal.png
2135, 254.07, 7947_1.5_normal.png
5803, 95.48, 7947_1.7_normal.png
10058, 57.05, 7947_1.9_normal.png
227, 2360.57, 8049_1.1_normal.png
724, 745.33, 8049_1.3_normal.png
1894, 290.07, 8049_1.5_normal.png
4728, 123.37, 8049_1.7_normal.png
8336, 75.89, 8049_1.9_normal.png
124, 4192.62, 8077_1.1_normal.png
421, 1253.71, 8077_1.3_normal.png
1488, 349.81, 8077_1.5_normal.png
4631, 113.7, 8077_1.7_normal.png
9569, 59.54, 8077_1.9_normal.png
66, 7886.72, 8082_1.1_normal.png
301, 1747.92, 8082_1.3_normal.png
1281, 420.83, 8082_1.5_normal.png
4021, 139.02, 8082_1.7_normal.png
9046, 65.32, 8082_1.9_normal.png
116, 4488.66, 8116_1.1_normal.png
470, 1141.06, 8116_1.3_normal.png
1491, 362.26, 8116_1.5_normal.png
3162, 199.78, 8116_1.7_normal.png
7206, 91.44, 8116_1.9_normal.png
106, 4962.82, 8365_1.1_normal.png
293, 1802.38, 8365_1.3_normal.png
1197, 439.51, 8365_1.5_normal.png
3649, 148.85, 8365_1.7_normal.png
7889, 75.09, 8365_1.9_normal.png
106, 4932.98, 8496_1.1_normal.png
522, 1025.79, 8496_1.3_normal.png
2110, 247.01, 8496_1.5_normal.png
4778, 112.2, 8496_1.7_normal.png
9234, 65.02, 8496_1.9_normal.png
60, 8720.34, 8763_1.1_normal.png
305, 1729.3, 8763_1.3_normal.png
1646, 320.7, 8763_1.5_normal.png
4729, 115.5, 8763_1.7_normal.png
10368, 52.85, 8763_1.9_normal.png
93, 5607.33, 8820_1.1_normal.png
417, 1253.02, 8820_1.3_normal.png
1455, 358.64, 8820_1.5_normal.png
4540, 117.85, 8820_1.7_normal.png
9577, 60.0, 8820_1.9_normal.png
123, 4238.8, 8860_1.1_normal.png
453, 1155.83, 8860_1.3_normal.png
1681, 310.16, 8860_1.5_normal.png
4225, 127.59, 8860_1.7_normal.png
9608, 57.16, 8860_1.9_normal.png
118, 4436.11, 8901_1.1_normal.png
492, 1073.25, 8901_1.3_normal.png
1705, 322.51, 8901_1.5_normal.png
4390, 132.39, 8901_1.7_normal.png
8045, 80.29, 8901_1.9_normal.png
75, 7562.53, 8936_1.1_normal.png
414, 1373.09, 8936_1.3_normal.png
1374, 424.11, 8936_1.5_normal.png
3569, 168.4, 8936_1.7_normal.png
7738, 80.33, 8936_1.9_normal.png
158, 3446.82, 8991_1.1_normal.png
727, 745.31, 8991_1.3_normal.png
2213, 245.52, 8991_1.5_normal.png
5778, 94.74, 8991_1.7_normal.png
9685, 61.77, 8991_1.9_normal.png
122, 4530.58, 9009_1.1_normal.png
462, 1224.72, 9009_1.3_normal.png
1761, 312.82, 9009_1.5_normal.png
4771, 117.79, 9009_1.7_normal.png
10092, 55.14, 9009_1.9_normal.png
152, 3456.01, 9228_1.1_normal.png
612, 872.93, 9228_1.3_normal.png
1907, 285.25, 9228_1.5_normal.png
5136, 108.14, 9228_1.7_normal.png
9607, 61.68, 9228_1.9_normal.png
68, 7690.42, 9243_1.1_normal.png
269, 1982.86, 9243_1.3_normal.png
1048, 507.1, 9243_1.5_normal.png
3882, 139.32, 9243_1.7_normal.png
9368, 59.04, 9243_1.9_normal.png
85, 6153.15, 9484_1.1_normal.png
441, 1185.14, 9484_1.3_normal.png
1480, 358.84, 9484_1.5_normal.png
3632, 160.05, 9484_1.7_normal.png
9115, 61.19, 9484_1.9_normal.png
138, 3846.1, 9485_1.1_normal.png
584, 913.85, 9485_1.3_normal.png
1858, 283.37, 9485_1.5_normal.png
4253, 136.4, 9485_1.7_normal.png
7932, 77.39, 9485_1.9_normal.png
87, 6008.41, 9644_1.1_normal.png
537, 983.24, 9644_1.3_normal.png
1593, 344.85, 9644_1.5_normal.png
4608, 123.44, 9644_1.7_normal.png
8394, 75.27, 9644_1.9_normal.png
121, 4334.02, 9753_1.1_normal.png
585, 902.12, 9753_1.3_normal.png
1821, 289.27, 9753_1.5_normal.png
4742, 114.55, 9753_1.7_normal.png
6383, 109.61, 9753_1.9_normal.png
72, 7240.95, 9777_1.1_normal.png
320, 1647.98, 9777_1.3_normal.png
1222, 437.44, 9777_1.5_normal.png
4009, 135.65, 9777_1.7_normal.png
9034, 63.81, 9777_1.9_normal.png
92, 5661.82, 9860_1.1_normal.png
416, 1267.98, 9860_1.3_normal.png
1220, 444.88, 9860_1.5_normal.png
3662, 157.93, 9860_1.7_normal.png
8385, 73.92, 9860_1.9_normal.png
130, 4027.87, 9869_1.1_normal.png
441, 1193.23, 9869_1.3_normal.png
1421, 374.33, 9869_1.5_normal.png
4063, 138.24, 9869_1.7_normal.png
8722, 69.25, 9869_1.9_normal.png
191, 2739.62, 9984_1.1_normal.png
659, 800.48, 9984_1.3_normal.png
1884, 286.29, 9984_1.5_normal.png
4626, 133.9, 9984_1.7_normal.png
8389, 77.77, 9984_1.9_normal.png
69, 7642.4, 9989_1.1_normal.png
369, 1451.72, 9989_1.3_normal.png
1582, 333.32, 9989_1.5_normal.png
4490, 118.68, 9989_1.7_normal.png
9266, 61.14, 9989_1.9_normal.png